paper_uid_after_direct_w,cohort,target_year,target_topic,partial,eng_cite_count,Y_jc,obs_start,obs_end,age_jc,age_bin,N_topic_jc,ln_offset
P00000054,C3,2019.0,7,1,0,0,2019.0,2019,0.0,0-2,1,0.6931471805599453
P00000054,C4,2019.0,7,0,1,1,2020.0,2024,3.0,3-5,9,2.302585092994046
P00000055,C3,2016.0,0,1,0,0,2016.0,2019,1.5,0-2,50,3.9318256327243257
P00000055,C4,2016.0,0,0,1,1,2020.0,2024,6.0,6-10,61,4.127134385045092
P00000056,C4,2020.0,7,1,1,1,2020.0,2024,2.0,0-2,9,2.302585092994046
P00000060,C3,2017.0,7,1,0,0,2017.0,2019,1.0,0-2,8,2.1972245773362196
P00000060,C4,2017.0,7,0,1,1,2020.0,2024,5.0,3-5,9,2.302585092994046
P00000061,C3,2018.0,7,1,0,0,2018.0,2019,0.5,0-2,4,1.6094379124341003
P00000061,C4,2018.0,7,0,1,1,2020.0,2024,4.0,3-5,9,2.302585092994046
P00000069,C3,2017.0,7,1,0,0,2017.0,2019,1.0,0-2,8,2.1972245773362196
P00000069,C4,2017.0,7,0,1,1,2020.0,2024,5.0,3-5,9,2.302585092994046
P00000070,C4,2020.0,7,1,1,1,2020.0,2024,2.0,0-2,9,2.302585092994046
P00000072,C2,2013.0,-1,1,0,0,2013.0,2014,0.5,0-2,27,3.332204510175204
P00000072,C3,2013.0,-1,0,0,0,2015.0,2019,4.0,3-5,66,4.204692619390966
P00000072,C4,2013.0,-1,0,1,1,2020.0,2024,9.0,6-10,79,4.382026634673881
P00000073,C2,2012.0,7,1,0,0,2012.0,2014,1.0,0-2,7,2.0794415416798357
P00000073,C3,2012.0,7,0,0,0,2015.0,2019,5.0,3-5,14,2.70805020110221
P00000073,C4,2012.0,7,0,1,1,2020.0,2024,10.0,6-10,9,2.302585092994046
P00000076,C3,2019.0,7,1,0,0,2019.0,2019,0.0,0-2,1,0.6931471805599453
P00000076,C4,2019.0,7,0,1,1,2020.0,2024,3.0,3-5,9,2.302585092994046
P00000077,C2,2013.0,3,1,0,0,2013.0,2014,0.5,0-2,2,1.0986122886681098
P00000077,C3,2013.0,3,0,0,0,2015.0,2019,4.0,3-5,6,1.9459101490553132
P00000077,C4,2013.0,3,0,1,1,2020.0,2024,9.0,6-10,10,2.3978952727983707
P00000078,C1,2008.0,7,1,0,0,2008.0,2009,0.5,0-2,3,1.3862943611198906
P00000078,C2,2008.0,7,0,1,1,2010.0,2014,4.0,3-5,13,2.6390573296152584
P00000078,C3,2008.0,7,0,1,1,2015.0,2019,9.0,6-10,14,2.70805020110221
P00000078,C4,2008.0,7,0,1,1,2020.0,2024,14.0,11+,9,2.302585092994046
P00000079,C3,2018.0,7,1,0,0,2018.0,2019,0.5,0-2,4,1.6094379124341003
P00000079,C4,2018.0,7,0,1,1,2020.0,2024,4.0,3-5,9,2.302585092994046
P00000080,C3,2019.0,7,1,0,0,2019.0,2019,0.0,0-2,1,0.6931471805599453
P00000080,C4,2019.0,7,0,1,1,2020.0,2024,3.0,3-5,9,2.302585092994046
P00000085,C3,2016.0,13,1,0,0,2016.0,2019,1.5,0-2,2,1.0986122886681098
P00000085,C4,2016.0,13,0,1,1,2020.0,2024,6.0,6-10,8,2.1972245773362196
P00000087,C3,2016.0,7,1,0,0,2016.0,2019,1.5,0-2,11,2.4849066497880004
P00000087,C4,2016.0,7,0,2,1,2020.0,2024,6.0,6-10,9,2.302585092994046
P00000104,C3,2016.0,-1,1,0,0,2016.0,2019,1.5,0-2,50,3.9318256327243257
P00000104,C4,2016.0,-1,0,1,1,2020.0,2024,6.0,6-10,79,4.382026634673881
P00000105,C3,2015.0,19,1,0,0,2015.0,2019,2.0,0-2,4,1.6094379124341003
P00000105,C4,2015.0,19,0,1,1,2020.0,2024,7.0,6-10,4,1.6094379124341003
P00000110,C3,2018.0,10,1,0,0,2018.0,2019,0.5,0-2,0,0.0
P00000110,C4,2018.0,10,0,1,1,2020.0,2024,4.0,3-5,0,0.0
P00000121,C4,2021.0,19,1,1,1,2021.0,2024,1.5,0-2,3,1.3862943611198906
P00000186,C1,2009.0,4,1,0,0,2009.0,2009,0.0,0-2,0,0.0
