paper_uid_after_direct_w,ref_title,ref_author,ref_publisher_or_journal,ref_year,direct_article_id,direct_id_sources,direct_id_values,direct_id_conflict,query_signature
P00000054,외국인고용법에 대한 비판적 검토 ― 규제와 보호를 중심으로 ―,조성혜,서울법학,2019,,,,False,외국인고용법에대한비판적검토규제와보호를중심으로||조성혜||서울법학||2019
P00000055,외국인정책에서 정부기관간 정책중복의 유형과 원인,정명주,한국이민정책학보,2016,,,,False,외국인정책에서정부기관간정책중복의유형과원인||정명주||한국이민정책학보||2016
P00000056,외국인근로자 고용정책변동에 따른 사회통합정책대상으로의 포용 가능성 탐색: 단기순환원칙의 고용정책을 중심으로,정명주,한국거버넌스학회보,2020,,,,False,외국인근로자고용정책변동에따른사회통합정책대상으로의포용가능성탐색단기순환원칙의고용정책을중심으로||정명주||한국거버넌스학회보||2020
P00000060,한국 이주노동레짐의 형성과 권리 결핍,한준성,한국정치연구,2017,ART002282952,paper_uid,ART002282952,False,한국이주노동레짐의형성과권리결핍||한준성||한국정치연구||2017
P00000061,‘불법’의 생산과 합법화 정책: 한국 이주노동정치의 사례,한준성,민주주의와 인권,2018,,,,False,불법의생산과합법화정책한국이주노동정치의사례||한준성||민주주의와인권||2018
P00000069,외국인 근로자와 관련된 인권문제의 개선방안에 대한 연구 - 고용허가제의 내용을 중심으로 -,김성률,사회복지법제연구,2017,,,,False,외국인근로자와관련된인권문제의개선방안에대한연구고용허가제의내용을중심으로||김성률||사회복지법제연구||2017
P00000070,중장기 한국 이민정책의 방향 모색-외국인력 정책의 성과 분석을 중심으로-,김연홍,다문화콘텐츠연구,2020,,,,False,중장기한국이민정책의방향모색외국인력정책의성과분석을중심으로||김연홍||다문화콘텐츠연구||2020
P00000072,"사회통합과 재외동포, 이원화된 정책과 인식",김영란,재외한인연구,2013,,,,False,사회통합과재외동포이원화된정책과인식||김영란||재외한인연구||2013
P00000073,포용과 배제의 동포정책과 발전과제,곽재석,다문화사회연구,2012,,,,False,포용과배제의동포정책과발전과제||곽재석||다문화사회연구||2012
P00000076,저숙련 외국인근로자(E-9) 체류기간에 대한 비판적 검토,이은채,다문화콘텐츠연구,2019,,,,False,저숙련외국인근로자e9체류기간에대한비판적검토||이은채||다문화콘텐츠연구||2019
P00000077,고용허가제를 둘러싼 주요 갈등과 쟁점 및 향후 법적 과제 ― 기본원칙을 중심으로 ―,이학춘,노동법논총,2013,,,,False,고용허가제를둘러싼주요갈등과쟁점및향후법적과제기본원칙을중심으로||이학춘||노동법논총||2013
P00000078,한국 이민정책의 수렴현상: 확대와 포섭의 방향으로,이혜경,한국사회학,2008,,,,False,한국이민정책의수렴현상확대와포섭의방향으로||이혜경||한국사회학||2008
P00000079,외국인근로자의 사회통합프로그램 참여와 정책적 함의,이혜경,철학∙사상∙문화,2018,,,,False,외국인근로자의사회통합프로그램참여와정책적함의||이혜경||철학사상문화||2018
P00000080,이민정책 이론에 관한 시론(時論)과 방향,이혜경,대한정치학회보,2019,,,,False,이민정책이론에관한시론과방향||이혜경||대한정치학회보||2019
P00000085,국회의 이민정책 결정과 정당정치: 제18대 국회를 중심으로,설동훈,한국과 국제정치,2016,ART002117348,paper_uid,ART002117348,False,국회의이민정책결정과정당정치제18대국회를중심으로||설동훈||한국과국제정치||2016
P00000087,다문화 소수자에 대한 국민인식의 지형과 변화,윤인진,디아스포라연구,2016,,,,False,다문화소수자에대한국민인식의지형과변화||윤인진||디아스포라연구||2016
P00000104,한국 지방자치단체의 공적개발협력 재고찰,장혜영,Oughtopia (오토피아),2016,ART002170885,paper_uid,ART002170885,False,한국지방자치단체의공적개발협력재고찰||장혜영||oughtopia오토피아||2016
P00000105,한국 지방정부의 공적개발원조(ODA) 결정요인에 관한 실증 분석: 지방의 국제화 수준을 중심으로,조현주,지방행정연구,2015,,,,False,한국지방정부의공적개발원조oda결정요인에관한실증분석지방의국제화수준을중심으로||조현주||지방행정연구||2015
P00000110,"거버넌스 시각을 통한 지방정부 개발협력 사업의 제도적 특성 분석 : 서울시, 경기도, 부산시의 사례",도묘년,국제정치연구,2018,,,,False,거버넌스시각을통한지방정부개발협력사업의제도적특성분석서울시경기도부산시의사례||도묘년||국제정치연구||2018
P00000121,한국 국제개발협력과 문화 ODA,이성우,문화정책논총,2021,,,,False,한국국제개발협력과문화oda||이성우||문화정책논총||2021
P00000186,시스템합리화와 노동유연성 -현대자동차 사내하청을 중심으로-,백두주,산업노동연구,2009,,,,False,시스템합리화와노동유연성현대자동차사내하청을중심으로||백두주||산업노동연구||2009
P00000200,유연 자동화와 숙련 성격의 변화 - 현대자동차 차체공장의 시스템조정 노동을 중심으로 -,조형제,산업노동연구,2010,,,,False,유연자동화와숙련성격의변화현대자동차차체공장의시스템조정노동을중심으로||조형제||산업노동연구||2010
