paper_uid_after_direct_w,ref_title,ref_author,ref_publisher_or_journal,ref_year
P00000054,외국인고용법에 대한 비판적 검토 ― 규제와 보호를 중심으로 ―,조성혜,서울법학,2019
P00000055,외국인정책에서 정부기관간 정책중복의 유형과 원인,정명주,한국이민정책학보,2016
P00000056,외국인근로자 고용정책변동에 따른 사회통합정책대상으로의 포용 가능성 탐색: 단기순환원칙의 고용정책을 중심으로,정명주,한국거버넌스학회보,2020
P00000060,한국 이주노동레짐의 형성과 권리 결핍,한준성,한국정치연구,2017
P00000061,‘불법’의 생산과 합법화 정책: 한국 이주노동정치의 사례,한준성,민주주의와 인권,2018
P00000069,외국인 근로자와 관련된 인권문제의 개선방안에 대한 연구 - 고용허가제의 내용을 중심으로 -,김성률,사회복지법제연구,2017
P00000070,중장기 한국 이민정책의 방향 모색-외국인력 정책의 성과 분석을 중심으로-,김연홍,다문화콘텐츠연구,2020
P00000072,"사회통합과 재외동포, 이원화된 정책과 인식",김영란,재외한인연구,2013
P00000073,포용과 배제의 동포정책과 발전과제,곽재석,다문화사회연구,2012
P00000076,저숙련 외국인근로자(E-9) 체류기간에 대한 비판적 검토,이은채,다문화콘텐츠연구,2019
P00000077,고용허가제를 둘러싼 주요 갈등과 쟁점 및 향후 법적 과제 ― 기본원칙을 중심으로 ―,이학춘,노동법논총,2013
P00000078,한국 이민정책의 수렴현상: 확대와 포섭의 방향으로,이혜경,한국사회학,2008
P00000079,외국인근로자의 사회통합프로그램 참여와 정책적 함의,이혜경,철학∙사상∙문화,2018
P00000080,이민정책 이론에 관한 시론(時論)과 방향,이혜경,대한정치학회보,2019
P00000085,국회의 이민정책 결정과 정당정치: 제18대 국회를 중심으로,설동훈,한국과 국제정치,2016
P00000087,다문화 소수자에 대한 국민인식의 지형과 변화,윤인진,디아스포라연구,2016
P00000104,한국 지방자치단체의 공적개발협력 재고찰,장혜영,Oughtopia (오토피아),2016
P00000105,한국 지방정부의 공적개발원조(ODA) 결정요인에 관한 실증 분석: 지방의 국제화 수준을 중심으로,조현주,지방행정연구,2015
P00000110,"거버넌스 시각을 통한 지방정부 개발협력 사업의 제도적 특성 분석 : 서울시, 경기도, 부산시의 사례",도묘년,국제정치연구,2018
P00000121,한국 국제개발협력과 문화 ODA,이성우,문화정책논총,2021
P00000186,시스템합리화와 노동유연성 -현대자동차 사내하청을 중심으로-,백두주,산업노동연구,2009
P00000200,유연 자동화와 숙련 성격의 변화 - 현대자동차 차체공장의 시스템조정 노동을 중심으로 -,조형제,산업노동연구,2010
P00000208,"내부노동시장의 해체인가 축소인가 기업규모별 임금격차 분해를 통해 본 한국노동시장의 구조 변동, 1982～2004.",김영미,한국사회학,2008
P00000210,정규직-비정규직의 연대정치: 현대자동차 울산공장 사례를 중심으로,이병훈,한국사회학,2014
P00000211,결합노동시장지위와 임금불평등의 확대(2004∼2015년),이철승,경제와 사회,2017
P00000277,한국의 대 아프리카 외교의 동학과 대응방안: 에너지·자원외교를 중심으로,이호영,국제관계연구,2011
P00000355,유신체제의 모순과 한미갈등: 민주주의 없는 국가안보,정일준,사회와역사(구 한국사회사학회논문집),2006
P00000370,기회에서 교착상태로 : 데탕트시기 한미관계와 한반도의 국제정치,신욱희,한국정치외교사논총,2005
P00000390,북한 핵증강론의 담론적 기원과 당론화 과정,이중구,국제정치논총,2017
P00000534,역사교육과 국가 이미지의 상관관계에 대한 연구 -대한민국 중등학교 역사교육이 중국 국가 이미지에 어떤 영향을 끼치는가에 대한 설문조사 분석을 중심으로-,강택구,경주사학,2010
P00000540,한ㆍ중 양국의 역사인식과 중ㆍ고교 역사학습론 비교,권소연,역사교육연구,2006
P00000550,국내 학계의 중국 역사교과서 연구 경향과 과제,오병수,동북아역사논총,2016
P00000551,역사교과서‧이미지‧스테레오타입 - 한‧중 역사교과서에 나타난 상호 이미지의 비교분석을 중심으로 -,박재영,경주사학,2009
P00000562,역사교과서 속의 민주주의: 한중일 3국 비교,유용태,역사교육,2014
P00000563,중국 역사교과서의 서사 구조와 이데올로기,윤세병,역사교육연구,2013
P00000688,중국의 비공식적 경제 제재,조형진,분석과 대안,2021
P00000689,중국 신문보도에 나타난 한중관계 위협요인 분석: 한반도 사드배치 문제를 중심으로,주민욱,한국동북아논총,2020
P00000690,사드 한반도 배치의 군사적 효용성과 한반도 미래,김동엽,국제정치논총,2017
P00000691,4차 북한 핵실험과 사드의 국제정치,김흥규,통일정책연구,2016
P00000692,사드 배치와 중국의 대한국 강압외교 동인,김진용,동아연구,2018
P00000696,미중 경쟁시대에 한국의 중국에 대한 인식과 정책 : 한국 내 중국 전문가의 인식을 중심으로,이정남,아세아연구,2017
P00000697,미국 미사일 방어 시스템 구축에 대한 중국의 인식과 대응: 사드 문제에 대한 시사점,이상만,현대중국연구,2017
P00000699,한국의 사드 배치 결정과 사회공론화 과정 분석,오정현,국방정책연구,2020
P00000700,사드(THAAD) 배치를 둘러싼 한국과 중국의 정치적 갈등이 경제관계에 미치는 영향,송지연,한국과 국제정치,2020
P00000701,한국의 사드배치 결정에 대한 중국의 대한(對韓) 경제보복과 한국의 대응방안,유현정,세계지역연구논총,2017
P00000755,우리나라 쌀시장 수입정책의 변화와 대응방안,조성제,관세학회지,2014
P00000756,쌀 시장 개방의 딜레마 : 시기별 정부대응을 중심으로,최흥석,한국행정논집,2011
P00000757,중국의 WTO가입이 중국GDP에 미치는 효과 분석,최원익,무역학회지,2014
P00000765,중국 반독점법상 기업결합 규제의 산업정책적 성격에 대한 고찰,김준호,동아법학,2014
P00000777,한국의 WTO 쌀 관세화 검증과 전략적 대응방안 연구,맹철규,관세학회지,2019
P00000781,동아시아에 대한 일본의 FTA전략: 복합적 지역주의,박창건,국제정치논총,2007
P00001061,북한의 도발사례 분석,이윤규,군사,2014
P00001157,"동북아시아의 세력균형, 1945-2001:평화의 경로 또는 분쟁의 원천?",이진명,국제정치논총,2016
P00001222,다문화사회 한국의 사회통합과 다문화주의 정책,김영란,한국사회,2013
P00001942,김정은 시대 북한 정치체제 변화에 대한 분석: 혁명정권의 딜레마와 당-국가체제적 속성을 중심으로,안경모,아세아연구,2016
P00001948,주체사상과 민족주의 - 북한사회 통치이념의 항상성과 변용성,차남희,담론201,2012
P00001949,거시경제학의 눈으로 본 식민지 근대화론,조장옥,경제학연구,2017
P00001961,남북한 동반과 화합을 위한 통일과 통일교육의 새로운 담론 모색,함규진,초등도덕교육,2017
P00001962,국가사회주의 시민사회론 재고- 북한 시민사회의 형성 전망에 주는 함축,한승완,사회와 철학,2014
P00001966,"2016년 국회의원 선거 이후 시민들의 통일의식 변화 : 이념적 양극화인가, 당파적 편향인가?",정동준,한국정치학회보,2016
P00001969,북한의 산업구조 현황과 과제,정진상,산업경제연구,2004
P00001972,김정은 정권의 수령제와 당ㆍ정ㆍ군 관계,김갑식,한국과 국제정치,2014
P00001973,북한 내각의 경제적 역할과 당정관계,김갑식,한국과 국제정치,2006
P00001974,김정일 시대 북한의 당 ？ 정 ？ 군 관계 변화 수령제 변화의 함의를 중심으로,김근식,한국정치학회보,2002
P00001977,통일당위성 담론유형 집단별 특성과 통일교육적 함의,김선,교육문화연구,2017
P00001978,북한의 산업구조 변화 추이와 향후 전망,김태운,아시아연구,2008
P00001985,김정은 권력세습과 통치권력 강화: 역사적 함의와 정적 제거,이헌경,Oughtopia (오토피아),2014
P00001987,김정은 집권 이후 시장경제 변화 실태와 전망,"Lim, Eul-Chul",시선집중 GSnJ,2017
P00001996,동유럽 공산체제붕괴에 비추어 본 북한붕괴론: ‘시민사회’개념을 중심으로,박정원,한국정치외교사논총,2013
P00002007,북한의 민족주의: 주체사상의 이론적 변용을 중심으로,"Seo, Jae Jin",통일연구논총,1993
P00002008,보편주의 통일론과 인권⋅민주주의 친화형 남북관계의 탐색,서보혁,세계지역연구논총,2014
P00002015,북한사회의 2분법적 분화와 체제의 내구성: “제2사회영역”에 대한 수용과 통제,짜오징,대한정치학회보,2015
P00002068,일본의 최근 미사일ㆍ미사일 방어 정책 방향,김성걸,한일군사문화연구,2014
P00002072,북한의 핵과 미사일 위협에 대한 일본의 대응: 패턴과 전망,남창희,국가전략,2010
P00002074,한국인의 대미인식 변화에 관한 분석－반미감정을 중심으로－,오창헌,대한정치학회보,2015
P00002075,오인식(誤認識)이 한국의 탄도미사일방어체제(BMD) 구축에 미친 영향: 일본과의 비교를 중심으로,박휘락,전략연구,2017
P00002076,한국과 일본의 탄도미사일 방어(BMD) 추진 비교,박휘락,국가전략,2015
P00002077,"이스라엘, 일본, 한국의 탄도미사일 방어(BMD) 비교와 한국에 대한 함의",박휘락,국제지역연구,2016
P00002082,지속가능발전을 위한 신재생 에너지 보조금 제도와 통상조약의 조화 방안,정민정,국제법학회논총,2017
P00002088,WTO 보조금협정과 탄소배출권 무상할당,김호철,통상법률,2011
P00002090,"의무할당제도 개선을 통한 신재생에너지 산업의 발전 전략 : 태양광, 풍력에너지 중심",김종완,에너지공학,2016
P00002091,환경친화적 신․재생에너지의 보급 확대를 위한 법․정책적 개선방안 - 신․재생에너지 의무할당제와 관련하여 -,김세규,공법학연구,2017
P00002092,신재생에너지 성장의 영향요인 연구: FIT와 RPS의 효과성 검증을 중심으로,김태은,한국행정학보,2011
P00002093,우리나라의 발전차액지원제도 사례 분석: 신산업정책론 시각에서,구민교,한국행정연구,2013
P00002096,신재생에너지 시장 확대를 위한 정책수단의 비교: 가격정책과 수량정책의 정책결합,권태형,한국정책과학학회보,2014
P00002098,환경친화 보조금과 WTO 보조금 협정,이재민,국제.지역연구,2017
P00002099,인도의 미국산 태양전지ㆍ모듈 제품의 차별에 관한 WTO 판례 연구,이길원,미국헌법연구,2017
P00002100,한국에서 재생에너지 확대를 위한 정책적 과제,이상훈,환경법과 정책,2014
P00002101,재생가능에너지 의무할당제의 이론과 실제: RPS 도입국가들에 대한 분석을 바탕으로,이수진,환경정책,2011
P00002103,RPS 및 FIT 제도가 신재생에너지 보급에미치는 효과 분석 : 104개국 패널토빗분석,임형우,에너지경제연구,2017
P00002114,신재생에너지산업 국제경쟁력 분석,유진만,무역학회지,2015
P00002298,민주화 이후 호남의 소지역주의 : 19대 총선에서 전북 지역을 중심으로,한정택,현상과 인식,2013
P00002299,호남지역에서 나타난 정당후보득표율의 지역편향: 제18대 대선 사례 분석,지병근,한국정당학회보,2013
P00002300,호남 유권자들의 이슈에 대한 태도 및 이념적 특성,지병근,21세기정치학회보,2014
P00002301,엘리트 충원과 영호남 지역주의: 김대중·노무현·이명박 정부를 중심으로,지충남,지역과 세계,2011
P00002303,옌푸(嚴復)와 번역의 정치: 『천연론』에 담긴‘천’개념을 중심으로,박홍규,한국정치학회보,2012
P00002308,17대 총선과 충청권 정치지형의 변화: 지역주의의 약화 및 변화를 중심으로,김욱,정치·정보연구,2004
P00002309,"한국 지역주의의 지역별 특성과 변화 가능성: 대전, 충청지역을 중심으로",김욱,21세기정치학회보,2004
P00002310,충청 지역주의의 역사적 발전과정과 특성,김욱,정치·정보연구,2007
P00002311,호남지역주의의 연속성과 변화: 시·군별 제6~16대 대통령선거 결과를 중심으로,김영태,사회과학연구,2007
P00002317,지역본위투표와 합리적 선택 이론: 공간모형 분석,문우진,한국과 국제정치,2005
P00002319,한국사회 이념갈등의 구성적 특성,박경미,한국정당학회보,2012
P00002525,"2012년 대선, 가난한 이들은 왜 보수정당을 지지했는가?",한귀영,동향과 전망,2013
P00002529,경제민주화와 제18대 대선: 쟁점 투표(Issue Voting)와 정치지식(Political Knowledge),장승진,한국정당학회보,2013
P00002532,한국 선거에서의‘계급 배반 투표와 사회 계층,강원택,한국정당학회보,2013
P00002534,한국 민주주의에서 경제적 불평등에 대한 인식의 정치적 효과: 민주주의의 효능성에 대한 효과를 중심으로,강우진,한국과 국제정치,2012
P00002535,사람들은 왜 성장주의를 지지하는가?: 성장주의 결정요인에 대한 경험분석,강우진,한국과 국제정치,2015
P00002541,정치의식과 불평등 투표: 17대 및 18대 국회의원 선거 분석,문우진,국가전략,2011
P00002670,한국에서의 난민의 현황과 난민인정절차의 개선방안,고문현,세계헌법연구,2008
P00002681,일본의 재정착난민 수용과 관련 제도에 대한 고찰,신예진,동아연구,2013
P00002781,선거여론조사의 문제점과 개선 방향:2006년 지방선거 전화조사를 중심으로,조성겸,조사연구,2007
P00002782,전화 선거여론조사에서 무응답률 증가로 인한 편의와 응답률 제고 방안,허순영,한국데이터정보과학회지,2016
P00002783,무선 RDD 전화조사의 타당성 검토 연구:18대 대통령선거 사례 연구,장덕현,조사연구,2013
P00002784,가중방법으로 선거여론조사의 편향을 얼마나 줄일 수 있나: 컴퓨터 시뮬레이션 사례,장덕현,조사연구,2014
P00002785,2014 지방선거에서의 여론조사의 정확성 연구 :조사방법별 정밀성과 편향 비교,장덕현,조사연구,2015
P00002787,휴대전화를 이용한 정치 여론조사에 대한 연구,김지윤,한국정당학회보,2012
P00002788,2016년 국회의원선거 전화여론조사 정확성 분석,김영원,조사연구,2016
P00002789,2014년 지방선거 여론조사 전화조사방법에 따른 예측오차 및 편향,김영원,조사연구,2014
P00002792,무응답모형에 기반한 출구조사의 예측 정확성 비교 연구,곽정애,한국데이터정보과학회지,2014
P00002793,유∙무선 RDD를 결합한 혼합조사설계: 2011 서울시장 보궐선거 예측조사 사례 연구,이계오,응용통계연구,2012
P00002794,제18대 대선 여론조사에서 나타난 조사기관 편향,박종희,조사연구,2013
P00002824,지역제도와 중견국가,최영종,국제관계연구,2009
P00002825,동아시아 지역통합과 한국의 중견국가 외교,최영종,한국정치외교사논총,2011
P00002828,중견국 이론화의 이슈와 쟁점,강선주,국제정치논총,2015
P00002829,국제정치의 분석단위로서 중견국가(Middle Power) : 그 개념화와 시사점,김치욱,국제정치논총,2009
P00002832,네트워크로 보는 중견국 외교전략: 구조적 공백과 위치권력 이론의 원용,김상배,국제정치논총,2011
P00002835,연합 형성과 중견국 외교: 믹타(MIKTA)의 사례,이승주,국제.지역연구,2016
P00002837,국가실패와 보호책임(R2P)의 북한 적용가능성,이신화,한국정치학회보,2012
P00002838,중견국가와 한국의 외교안보정책:노무현정부의 동맹재조정 정책을 중심으로,이수형,국방연구,2009
P00002839,"경제위기, 지역협력의 제도화, 융합과정모델: 치앙마이 이니셔티브",이용욱,평화연구,2015
P00002840,통일한국 등장과 동북아 지역질서 변화: 러시아의 역내 전략적 행위자로서의 가능성과 한국의 대응,신범식,전략연구,2015
P00002843,영토명칭 논쟁에 대한 대중의 집단지성 전략과 집합행동: 동해표기 오류시정운동 사례,송태은,세계지역연구논총,2015
P00002844,동아시아공동체 논의와 한국의 전략: 신아시아 외교의 재조정을 중심으로,유현석,한국정치외교사논총,2011
P00002882,라틴아메리카와 한국인 이민,서성철,멕시코 한인사회와 현지적응,라틴아메리카연구
P00002882,라틴아메리카와 한국인 이민,서성철,아르헨티나 한인사회와 현지적응,라틴아메리카연구
P00002891,"무형문화재 제도의 성립,그 역사성의 재고",정수진,한국민속학,2004
P00002892,지속가능개발과 한국무형문화유산정책,김용구,문화재,2016
P00002915,투표참여와 다른 유형의 정치참여 간의 연계성 분석,김욱,정치·정보연구,2013
P00002948,WTO 체제에서의 남북한교역과 개성공단 관련 통상쟁점 연구,안덕근,국제.지역연구,2014
P00002992,외교정책결정자 심리분석의 유용성 검토: 1990년대 북핵위기를 둘러싼 한미관계를 중심으로,조동준,한국정치외교사논총,2004
P00003022,비대칭적 동맹에서의 갈등:정치심리학적 측면,신욱희,국방연구,2007
P00003067,해양안보 분야 국내 연구동향에 관한 분석 및 평가,김기주,동서연구,2015
P00003068,북한 잠수함발사탄도미사일(SLBM)의 실증적 위협 분석과 한국 안보에의 함의,이경행,국가안보와 전략,2015
P00003133,"전시작전통제권 전환 재연기의 정치·경제· 군사적 조명: 이론, 평가, 대응",한용섭,국제관계연구,2015
P00003136,한·미간  전시작전통제권 전환 준비의 진단과 대비,김재철,아시아연구,2010
P00003137,전시작전통제권 전환정책의 변경요인 분석과 대안:한·미의 국가이익을 중심으로,김재철,한국동북아논총,2013
P00003140,전작권 전환의 의미와 한국 안보정책의 방향,김영호,신아세아,2007
P00003146,전시작전통제권 이양에 관한 연구 : 한미동맹의 강화를 통한 한미군사협조체제의 구축,노찬백,한국동북아논총,2009
P00003158,아프리카 지역에서 중국의 ODA 정책과 에너지 외교 연계 마스터 전략 :성공 요인과 한계점 분석,안세현,동서연구,2012
P00003159,북한의 에너지 안보 구축: 동북아시아 천연가스 협력 방안,안세현,국제관계연구,2013
P00003162,중동지역에서 미국 중국 러시아의 새로운 에너지 그레이트 게임 (The Great Game)에 대한 분석: 미국의 에너지 벨트 구축 전략과 그 기원,안세현,국제.지역연구,2014
