paper_uid_after_direct_w,exclusion_reason,ref_year,search_pub_year,kci_pub_year,kci_verified,google_scholar_indexed,google_scholar_match_status,google_scholar_year,google_scholar_citation_count,D_j_audit,recoverable_target_year,year_recovery_source
P00002882,missing_target_year,라틴아메리카연구,2004.0,,,1,matched,2005.0,8.0,1.0,2004.0,search_pub_year
P00010424,missing_target_year,경제와 사회,2013.0,,,0,not_indexed,,,0.0,2013.0,search_pub_year
P00012581,missing_target_year,국제정치논총,2012.0,,,1,matched,2012.0,2.0,1.0,2012.0,search_pub_year
P00013683,missing_target_year,,,,,0,not_indexed,,,0.0,,
P00014803,missing_target_year,한국언론학보,2007.0,,,1,matched,2007.0,14.0,1.0,2007.0,search_pub_year
P00018122,missing_target_year,2005b,,,,0,not_indexed,,,0.0,,
P00018173,missing_target_year,2006a,2006.0,2006.0,N,1,matched,2006.0,5.0,1.0,2006.0,kci_pub_year
P00018302,missing_target_year,,,,,0,not_indexed,,,0.0,,
P00018629,missing_target_year,2005.5.16,,,,0,not_indexed,,,0.0,,
P00018630,missing_target_year,2005.10.13,,,,0,not_indexed,,,0.0,,
P00018631,missing_target_year,2006.10.16,,,,0,not_indexed,,,0.0,,
P00018633,missing_target_year,2007.3.29,,,,0,not_indexed,,,0.0,,
P00018634,missing_target_year,2007.3.29,,,,0,not_indexed,,,0.0,,
P00018635,missing_target_year,2006.10.16,,,,0,not_indexed,,,0.0,,
P00018643,missing_target_year,2007(a),,,,0,not_indexed,,,0.0,,
P00018644,missing_target_year,2007(b),,,,0,not_indexed,,,0.0,,
P00018645,missing_target_year,2007(c),,,,0,not_indexed,,,0.0,,
P00018646,missing_target_year,2007(d),,,,0,not_indexed,,,0.0,,
P00018647,missing_target_year,2006.10.16,,,,0,not_indexed,,,0.0,,
P00018786,missing_target_year,2002년10월12일자,,,,0,not_indexed,,,0.0,,
P00018787,missing_target_year,1991년2월27일자,,,,0,not_indexed,,,0.0,,
P00018788,missing_target_year,2003년4월1일자,,,,0,not_indexed,,,0.0,,
P00018789,missing_target_year,2002년5월07일자,,,,0,not_indexed,,,0.0,,
P00018790,missing_target_year,,,,,0,not_indexed,,,0.0,,
P00018791,missing_target_year,2000년7월17일자,,,,0,not_indexed,,,0.0,,
P00018792,missing_target_year,2002년9월30일자,,,,0,not_indexed,,,0.0,,
P00018793,missing_target_year,,2026.0,,,1,matched,2002.0,29.0,1.0,2002.0,google_scholar_year
P00018986,missing_target_year,2000a,,,,0,not_indexed,,,0.0,,
P00018987,missing_target_year,2000b,,,,0,not_indexed,,,0.0,,
P00019141,missing_target_year,,,,,0,not_indexed,,,0.0,,
P00020075,missing_target_year,2007.8.9,,,,0,not_indexed,,,0.0,,
P00020076,missing_target_year,2007.3.16,,,,0,not_indexed,,,0.0,,
P00020107,missing_target_year,,,,,0,not_indexed,,,0.0,,
P00020111,missing_target_year,2000(a),,,,0,not_indexed,,,0.0,,
P00020112,missing_target_year,2000(b),,,,0,not_indexed,,,0.0,,
P00015483,missing_target_year,2000(a),,,,0,not_indexed,,,0.0,,
P00020121,missing_target_year,,,,,0,not_indexed,,,0.0,,
P00020122,missing_target_year,,,,,0,not_indexed,,,0.0,,
P00020125,missing_target_year,2003(a),,,,0,not_indexed,,,0.0,,
P00020147,missing_target_year,,,,,1,matched,1990.0,,1.0,1990.0,google_scholar_year
P00020148,missing_target_year,2007.1.19,,,,0,not_indexed,,,0.0,,
P00020155,missing_target_year,1,,,,0,not_indexed,,,0.0,,
P00020157,missing_target_year,,,,,0,not_indexed,,,0.0,,
P00020159,missing_target_year,,,,,0,not_indexed,,,0.0,,
P00020173,missing_target_year,2001(b),,,,0,not_indexed,,,0.0,,
P00020181,missing_target_year,2004(a),2004.0,2004.0,N,1,matched,2004.0,,1.0,2004.0,kci_pub_year
P00020182,missing_target_year,2004(b),2004.0,2004.0,N,1,matched,2004.0,1.0,1.0,2004.0,kci_pub_year
P00020185,missing_target_year,2001(a),,,,0,not_indexed,,,0.0,,
P00020186,missing_target_year,2001(b),,,,0,not_indexed,,,0.0,,
P00020616,missing_target_year,발행년도없음,2023.0,,,0,not_indexed,,,0.0,2023.0,search_pub_year
P00021311,missing_target_year,한국정치연구,2019.0,,,1,matched,2019.0,4.0,1.0,2019.0,search_pub_year
P00021351,missing_target_year,민주방식의 여성지도자에 대한 평가,2005.0,,,1,matched,2005.0,8.0,1.0,2005.0,search_pub_year
P00021496,missing_target_year,인물과사상,2022.0,,,0,review,,,0.0,2022.0,search_pub_year
P00021763,missing_target_year,대한정치학회보,2025.0,,,1,matched,2018.0,9.0,1.0,2018.0,google_scholar_year
P00023454,missing_target_year,한국언론학보,2008.0,,,1,matched,2009.0,45.0,1.0,2008.0,search_pub_year
P00024701,missing_target_year,한국정당학회보,2010.0,,,1,matched,2010.0,3.0,1.0,2010.0,search_pub_year
P00026595,missing_target_year,한국사회와 행정연구,2005.0,,,1,matched,2005.0,12.0,1.0,2005.0,search_pub_year
P00027645,missing_target_year,2004a,2004.0,2004.0,N,1,matched,2004.0,10.0,1.0,2004.0,kci_pub_year
P00027646,missing_target_year,2004b,2004.0,2004.0,N,1,matched,2004.0,17.0,1.0,2004.0,kci_pub_year
P00028016,missing_target_year,1964-2000,2017.0,,,0,not_indexed,,,0.0,2017.0,search_pub_year
P00028017,missing_target_year,1964-2000,2008.0,,,0,not_indexed,,,0.0,2008.0,search_pub_year
P00028032,missing_target_year,,2004.0,,,1,matched,2013.0,1.0,1.0,2004.0,search_pub_year
P00029111,missing_target_year,,,,,0,review,,,0.0,,
P00029772,missing_target_year,아시아여성연구,2015.0,,,1,matched,2015.0,5.0,1.0,2015.0,search_pub_year
P00030076,missing_target_year,성이론,,,,1,matched,2018.0,4.0,1.0,2018.0,google_scholar_year
P00030081,missing_target_year,페미니즘연구,2009.0,,,1,matched,2009.0,58.0,1.0,2009.0,search_pub_year
P00030202,missing_target_year,리더십연구,2011.0,,,0,review,,,0.0,2011.0,search_pub_year
P00030666,missing_target_year,세계정치,2006.0,,,0,not_indexed,,,0.0,2006.0,search_pub_year
P00030741,missing_target_year,성이론,2003.0,,,0,not_indexed,,,0.0,2003.0,search_pub_year
P00031535,missing_target_year,사회와 철학,2023.0,,,1,matched,2009.0,1.0,1.0,2023.0,search_pub_year
P00031957,missing_target_year,한길사,,,,0,not_indexed,,,0.0,,
P00032094,missing_target_year,국어국문학,2004.0,,,1,matched,2004.0,16.0,1.0,2004.0,search_pub_year
P00032278,missing_target_year,정치사상연구,2012.0,,,1,matched,2012.0,10.0,1.0,2012.0,search_pub_year
P00033207,missing_target_year,한국정치학회보,,,,1,matched,2007.0,,1.0,2007.0,google_scholar_year
P00033535,missing_target_year,,2008.0,,,1,matched,2004.0,,1.0,2008.0,search_pub_year
P00033938,missing_target_year,,,,,0,not_indexed,,,0.0,,
P00033940,missing_target_year,,2007.0,,,0,review,,,0.0,2007.0,search_pub_year
P00034167,missing_target_year,,2006.0,2006.0,N,0,not_indexed,,,0.0,2006.0,kci_pub_year
P00034197,missing_target_year,2007.01.04,,,,0,not_indexed,,,0.0,,
P00034237,missing_target_year,19582007,,,,0,not_indexed,,,0.0,,
P00034277,missing_target_year,19941960,,,,0,not_indexed,,,0.0,,
P00034309,missing_target_year,,,,,0,not_indexed,,,0.0,,
P00034311,missing_target_year,2006a,,,,0,not_indexed,,,0.0,,
P00034312,missing_target_year,2006b,,,,0,not_indexed,,,0.0,,
P00034437,missing_target_year,,,,,0,review,,,0.0,,
P00034454,missing_target_year,______.2004.&#65378;,2004.0,2004.0,N,1,matched,2004.0,5.0,1.0,2004.0,kci_pub_year
P00034493,missing_target_year,1987economicandphilosophicalmanuscripts1844,,,,0,not_indexed,,,0.0,,
P00034495,missing_target_year,,,,,0,not_indexed,,,0.0,,
P00034531,missing_target_year,19681988,,,,0,not_indexed,,,0.0,,
P00034544,missing_target_year,19861986년10월,2003.0,,,0,review,,,0.0,2003.0,search_pub_year
P00032478,missing_target_year,2000a,2019.0,,,0,not_indexed,,,0.0,2019.0,search_pub_year
P00034574,missing_target_year,2000b,,,,0,not_indexed,,,0.0,,
P00034575,missing_target_year,1999a,,,,0,not_indexed,,,0.0,,
P00034576,missing_target_year,1999b,,,,0,not_indexed,,,0.0,,
P00034598,missing_target_year,,2020.0,,,0,not_indexed,,,0.0,2020.0,search_pub_year
P00034617,missing_target_year,,,,,0,not_indexed,,,0.0,,
P00034618,missing_target_year,,,,,0,not_indexed,,,0.0,,
P00034619,missing_target_year,,,,,0,not_indexed,,,0.0,,
P00034620,missing_target_year,,,,,0,not_indexed,,,0.0,,
P00034644,missing_target_year,2004a,,,,0,not_indexed,,,0.0,,
P00034645,missing_target_year,2004b,2004.0,,,0,review,,,0.0,2004.0,search_pub_year
P00034646,missing_target_year,2004c,2004.0,2004.0,N,1,matched,2004.0,1.0,1.0,2004.0,kci_pub_year
P00034658,missing_target_year,방미경역,2001.0,,,1,matched,2015.0,2.0,1.0,2001.0,search_pub_year
P00034754,missing_target_year,2006a,2003.0,,,0,not_indexed,,,0.0,2003.0,search_pub_year
P00034755,missing_target_year,2006b,2024.0,,,0,review,,,0.0,2024.0,search_pub_year
P00034802,missing_target_year,,,,,0,not_indexed,,,0.0,,
P00034944,missing_target_year,아세아연구,,,,0,not_indexed,,,0.0,,
P00035102,missing_target_year,,,,,0,not_indexed,,,0.0,,
P00036795,missing_target_year,,,,,0,not_indexed,,,0.0,,
P00038022,missing_target_year,역사비평,2020.0,,,0,review,,,0.0,2020.0,search_pub_year
P00038841,missing_target_year,,,,,0,not_indexed,,,0.0,,
P00039280,missing_target_year,가출이라는 북한영화의 내러티브 반복과 연기,2007.0,,,1,matched,2007.0,,1.0,2007.0,search_pub_year
P00039332,missing_target_year,국제정치논총,2013.0,,,1,matched,2013.0,10.0,1.0,2013.0,search_pub_year
P00039436,missing_target_year,중소연구,2013.0,,,1,matched,2007.0,3.0,1.0,2013.0,search_pub_year
P00039969,missing_target_year,,,,,1,matched,2011.0,1.0,1.0,2011.0,google_scholar_year
P00040645,missing_target_year,위생 시스템의 혼종적 전환 -,2021.0,,,1,matched,2021.0,2.0,1.0,2021.0,search_pub_year
P00040646,missing_target_year,과학기술학연구,2021.0,,,1,matched,2021.0,,1.0,2021.0,search_pub_year
P00041208,missing_target_year,고황정치학회보,,,,0,not_indexed,,,0.0,,
P00041285,missing_target_year,교육문제연구,2016.0,,,0,review,,,0.0,2016.0,search_pub_year
P00043019,missing_target_year,군사평론,2015.0,,,0,not_indexed,,,0.0,2015.0,search_pub_year
P00043260,missing_target_year,,,,,0,not_indexed,,,0.0,,
P00043261,missing_target_year,,,,,0,not_indexed,,,0.0,,
P00043474,missing_target_year,,,,,0,not_indexed,,,0.0,,
P00044249,missing_target_year,2008a,,,,0,not_indexed,,,0.0,,
P00044733,missing_target_year,2007.10.9,,,,0,not_indexed,,,0.0,,
P00044758,missing_target_year,,,,,0,not_indexed,,,0.0,,
P00044760,missing_target_year,1950.1.11,,,,0,not_indexed,,,0.0,,
P00044764,missing_target_year,,,,,0,not_indexed,,,0.0,,
P00044837,missing_target_year,,,,,0,not_indexed,,,0.0,,
P00044957,missing_target_year,,,,,0,not_indexed,,,0.0,,
P00045396,missing_target_year,대외경제정책연구,1999.0,,,0,not_indexed,,,0.0,1999.0,search_pub_year
P00045544,missing_target_year,,,,,0,not_indexed,,,0.0,,
P00045683,missing_target_year,2007.10.9,,,,0,not_indexed,,,0.0,,
