term,estimate,std_error,statistic,p_value,model,rr,conf_low,conf_high,n_obs
D_j,0.76958132642587,0.184796323741591,4.16448396182388,3.12057560672918e-05,raw,2.15886220599182,1.50287588907018,3.1011782532112,179230
cohort::C2:D_j,0.277132870235113,0.204584122571686,1.35461572849088,0.175540019648379,raw,1.31934166062596,0.883510581934585,1.97016589620444,179230
cohort::C3:D_j,0.109850405522103,0.194341200640509,0.565245069805367,0.571907085148499,raw,1.11611109391343,0.76257200075925,1.63355587763038,179230
cohort::C4:D_j,-0.115644703565202,0.194185444527273,-0.595537445387466,0.551484276722039,raw,0.890791662181061,0.608810530867526,1.30337723344007,179230
D_j,-0.276529967487094,0.18713893822185,-1.47767199127352,0.139495594728842,main,0.75841089112253,0.525543514390838,1.09446137954908,163690
cohort::C2:D_j,0.328570496709882,0.206250428374899,1.59306576620846,0.111145438171951,main,1.38898115547826,0.927112517292036,2.08094337449876,163690
cohort::C3:D_j,0.214535479811817,0.195659610192512,1.09647300023103,0.272871832736291,main,1.23928608983174,0.844544917251818,1.81852969697347,163690
cohort::C4:D_j,0.0172659581272451,0.195718074984343,0.0882185159885023,0.929703001061297,main,1.01741587636673,0.693266032038205,1.49312820424763,163690
age_bin11+,-0.810543392021828,0.0787385550218099,-10.2941105764173,7.49086225986214e-25,main,0.444616399564723,0.381032365035106,0.518810896139188,163690
age_bin3-5,0.453939757882587,0.0562637847617699,8.06806296100844,7.14222157233594e-16,main,1.57450314321472,1.41010298361749,1.75807028053598,163690
age_bin6-10,0.105199775642573,0.0582289390456708,1.80665794992524,0.0708156279392914,main,1.11093252544748,0.991110799760899,1.24524026616888,163690
D_j,-0.347828177985128,0.187243670805934,-1.8576231521632,0.0632225483753614,topic_cohort_fe,0.706220209969601,0.489277349810648,1.01935432973246,156800
cohort::C2:D_j,0.361416877278264,0.207788272234845,1.73935166499573,0.0819729247184603,topic_cohort_fe,1.43536170585378,0.955187009408231,2.15692132151994,156800
cohort::C3:D_j,0.268663757254954,0.196256779327105,1.36894000898265,0.171018028103211,topic_cohort_fe,1.30821518921897,0.890475641619525,1.92192453259095,156800
cohort::C4:D_j,0.087494233505169,0.196063625836828,0.446254286748654,0.655413573019811,topic_cohort_fe,1.09143597066492,0.743199716355911,1.60284302031516,156800
age_bin11+,-0.790785176408544,0.0795292159719355,-9.94332921234378,2.69661018962994e-23,topic_cohort_fe,0.453488586917462,0.38803395134773,0.529984290679001,156800
age_bin3-5,0.457839763929788,0.0562065353665511,8.14566777589091,3.77194443292482e-16,topic_cohort_fe,1.58065570470971,1.41577198478554,1.76474212209379,156800
age_bin6-10,0.112227417104764,0.0589016145064855,1.90533685782767,0.0567362972691976,topic_cohort_fe,1.11876725852757,0.996785430499891,1.25567663857767,156800
D_j,-0.197741820397755,0.1931375194609,-1.02383949503808,0.305911092297864,citation_count,0.820581683244137,0.561978684051851,1.19818476747359,163690
cohort::C2:D_j,0.275955153627335,0.213004148245324,1.29553887048954,0.195134401306234,citation_count,1.31778876465608,0.868026550259082,2.00059229494246,163690
cohort::C3:D_j,0.190382169667766,0.202460673180405,0.940341483000619,0.347042427616104,citation_count,1.20971182449315,0.813474458581265,1.798953467907,163690
cohort::C4:D_j,-0.0296744381827245,0.202098051622036,-0.146831886525169,0.883264715643445,citation_count,0.970761524994561,0.653255719372176,1.44258658663633,163690
age_bin11+,-0.792677649319671,0.0818793682996345,-9.68104256030526,3.62995210388591e-22,citation_count,0.452631183613375,0.385520383771127,0.531424529035729,163690
age_bin3-5,0.483558890951001,0.0576661829491551,8.38548463277621,5.05171949607871e-17,citation_count,1.62183608127146,1.44850671257225,1.81590616852786,163690
age_bin6-10,0.128683100809282,0.0599359845466584,2.14700904277472,0.0317925617128839,citation_count,1.13732964820638,1.01127162248264,1.27910118303697,163690
cohort::C2:D_j,0.5143103904194,0.214035360441913,2.40292253278859,0.0162646325276631,target_fe,1.67248474251968,1.09944013708785,2.54420874734501,7191
cohort::C3:D_j,0.452291854414158,0.208800672868279,2.16614174753873,0.0303003568882378,target_fe,1.57191065069934,1.04398230031173,2.36680554166889,7191
cohort::C4:D_j,0.221192556898889,0.210106392812252,1.05276452533524,0.292448927321727,target_fe,1.24756363442148,0.826449906285245,1.88325391544511,7191
age_bin11+,-0.244246044127091,0.231550000792945,-1.05483067713526,0.291502771665362,target_fe,0.783294885445133,0.497537650583976,1.23317476947596,7191
age_bin3-5,0.901868863115187,0.0827361450533105,10.9005424719036,1.14572162597599e-27,target_fe,2.46420407063199,2.09531943944079,2.8980314826554,7191
age_bin6-10,0.382379004712545,0.130765080180963,2.92416755439127,0.00345378782607927,target_fe,1.46576751266628,1.13437228781106,1.89397645224012,7191
D_j,-0.388564041336083,0.324778506023829,-1.19639703406843,0.231541658211087,pre2005_targets,0.67802979855525,0.358749856057159,1.28146227787093,70668
cohort::C2:D_j,0.585904953703012,0.390896935776665,1.49887323250281,0.133906521703398,pre2005_targets,1.79661610459703,0.835058881025481,3.86539141208046,70668
cohort::C3:D_j,0.904484126299552,0.402947855745723,2.2446679226662,0.0247894587730866,pre2005_targets,2.47065704725479,1.12154402429214,5.4426274073391,70668
cohort::C4:D_j,0.99629167555251,0.452775669063793,2.20040904055765,0.0277778869872943,pre2005_targets,2.708220224875,1.11499660959722,6.57800815113821,70668
age_bin11+,-0.99379046344873,0.391009638734997,-2.54160093511726,0.011034608044291,pre2005_targets,0.370170909121925,0.172015729568688,0.796592859872364,70668
age_bin3-5,1.24896839973627,0.745242277319386,1.67592263314525,0.093753347814457,pre2005_targets,3.48674417531786,0.809202192836909,15.0239149766655,70668
cohort::C2:D_j,0.00404723356277032,0.00186260411585235,2.1728898418751,0.0297928798696845,lpm_target_fe,,,,179230
cohort::C3:D_j,0.00696038702114327,0.00187378198576754,3.71461945627156,0.000203711639454386,lpm_target_fe,,,,179230
cohort::C4:D_j,7.78512347940114e-05,0.00176099131610595,0.0442087556491549,0.964738163990881,lpm_target_fe,,,,179230
age_bin11+,0.00803043145238723,0.00159081763706191,5.04798995516463,4.47909661855563e-07,lpm_target_fe,,,,179230
age_bin3-5,0.0195809375936021,0.0012068929835651,16.2242534012925,4.66835540445315e-59,lpm_target_fe,,,,179230
age_bin6-10,0.0133357077117463,0.00124425435239954,10.7178308727862,8.92445546178571e-27,lpm_target_fe,,,,179230
cohort::C2:D_j,0.00791178625563884,0.00287650788671726,2.75048307434608,0.00595639398173659,lpm_pre2005,,,,75788
