file,column,dtype,non_null,null,n_unique
panel_with_offset.csv,paper_uid_after_direct_w,string,181957,0,55622
panel_with_offset.csv,cohort,string,181957,0,4
panel_with_offset.csv,target_year,float64,181957,0,190
panel_with_offset.csv,target_topic,int64,181957,0,41
panel_with_offset.csv,partial,int64,181957,0,2
panel_with_offset.csv,eng_cite_count,int64,181957,0,6
panel_with_offset.csv,Y_jc,int64,181957,0,2
panel_with_offset.csv,obs_start,float64,181957,0,190
panel_with_offset.csv,obs_end,int64,181957,0,4
panel_with_offset.csv,age_jc,float64,181957,0,428
panel_with_offset.csv,age_bin,object,181957,0,4
panel_with_offset.csv,N_topic_jc,int64,181957,0,37
panel_with_offset.csv,ln_offset,float64,181957,0,37
rq2analticsample_with_google_scholar_metadata.csv,paper_uid_after_direct_w,string,57284,0,57284
rq2analticsample_with_google_scholar_metadata.csv,ref_title,object,57284,0,57282
rq2analticsample_with_google_scholar_metadata.csv,ref_author,object,51331,5953,16880
rq2analticsample_with_google_scholar_metadata.csv,ref_publisher_or_journal,object,47179,10105,5468
rq2analticsample_with_google_scholar_metadata.csv,ref_year,object,56795,489,1089
rq2analticsample_with_google_scholar_metadata.csv,query_signature,object,57284,0,57220
rq2analticsample_with_google_scholar_metadata.csv,retrieval_method,object,57284,0,8
rq2analticsample_with_google_scholar_metadata.csv,cache_source_uid,object,63,57221,63
rq2analticsample_with_google_scholar_metadata.csv,direct_article_id,object,5924,51360,5828
rq2analticsample_with_google_scholar_metadata.csv,direct_id_sources,object,5924,51360,1
rq2analticsample_with_google_scholar_metadata.csv,direct_id_values,object,5924,51360,5828
rq2analticsample_with_google_scholar_metadata.csv,direct_id_conflict,bool,57284,0,1
rq2analticsample_with_google_scholar_metadata.csv,direct_id_validation_status,object,5915,51369,2
rq2analticsample_with_google_scholar_metadata.csv,direct_id_error,object,13,57271,13
rq2analticsample_with_google_scholar_metadata.csv,kci_search_attempts_json,object,51402,5882,519
rq2analticsample_with_google_scholar_metadata.csv,selected_search_strategy,object,31673,25611,3
rq2analticsample_with_google_scholar_metadata.csv,selected_search_total,float64,25877,31407,254
rq2analticsample_with_google_scholar_metadata.csv,combined_candidate_count,float64,31673,25611,107
rq2analticsample_with_google_scholar_metadata.csv,kci_match_status,object,57284,0,8
rq2analticsample_with_google_scholar_metadata.csv,kci_match_accepted,bool,57284,0,2
rq2analticsample_with_google_scholar_metadata.csv,match_title_score,float64,31673,25611,553
rq2analticsample_with_google_scholar_metadata.csv,match_author_score,float64,30513,26771,25
rq2analticsample_with_google_scholar_metadata.csv,match_journal_score,float64,29601,27683,105
rq2analticsample_with_google_scholar_metadata.csv,match_year_exact,object,31673,25611,2
rq2analticsample_with_google_scholar_metadata.csv,match_corroboration_count,float64,31673,25611,4
rq2analticsample_with_google_scholar_metadata.csv,match_weighted_score,float64,31673,25611,1792
rq2analticsample_with_google_scholar_metadata.csv,kci_article_id,object,31673,25611,30520
rq2analticsample_with_google_scholar_metadata.csv,search_title_original,object,31673,25611,30520
rq2analticsample_with_google_scholar_metadata.csv,search_title_foreign,object,29895,27389,28833
rq2analticsample_with_google_scholar_metadata.csv,search_title_english,object,30366,26918,29214
rq2analticsample_with_google_scholar_metadata.csv,search_authors,object,31669,25615,19487
rq2analticsample_with_google_scholar_metadata.csv,search_journal_name,object,31673,25611,1616
rq2analticsample_with_google_scholar_metadata.csv,search_publisher_name,object,31673,25611,1536
rq2analticsample_with_google_scholar_metadata.csv,search_pub_year,float64,31673,25611,47
rq2analticsample_with_google_scholar_metadata.csv,search_pub_month,float64,31673,25611,13
rq2analticsample_with_google_scholar_metadata.csv,search_volume,object,25562,31722,157
rq2analticsample_with_google_scholar_metadata.csv,search_issue,object,30239,27045,248
rq2analticsample_with_google_scholar_metadata.csv,search_citation_total,float64,31673,25611,256
rq2analticsample_with_google_scholar_metadata.csv,search_citation_kci,float64,31673,25611,256
rq2analticsample_with_google_scholar_metadata.csv,search_citation_wos,float64,31673,25611,8
rq2analticsample_with_google_scholar_metadata.csv,search_url,object,31673,25611,30520
rq2analticsample_with_google_scholar_metadata.csv,api_error,object,89,57195,89
rq2analticsample_with_google_scholar_metadata.csv,kci_journal_id,object,28710,28574,1543
rq2analticsample_with_google_scholar_metadata.csv,kci_issn,object,28324,28960,1507
